Type_of_event,Distance,Warranty,Participants,Preference,Profession,Age,show_up_Rate
11,800,500,20,7,3,78,50
7,200,100,200,7,4,30,65
9,800,5,200,9,3,28,65
9,50,500,50,7,1,10,55
9,50,10,5,8,4,30,90
9,0,10000,200,10,3,27,55
9,20,20,50,8,1,33,80
10,20,5,1,10,2,33,100
11,300,10,5,8,1,64,80
9,20,1,50,9,3,54,90
11,500,50,10000,10,4,99,55
10,1000,10000,50,7,1,56,35
8,200,100,200,10,1,24,60
9,500,50,20,9,1,17,70
11,0,20,1000,8,4,35,75
8,1000,5,10000,7,2,23,55
10,1000,20,1,9,3,17,75
8,1000,1000,50,8,2,49,40
9,1000,200,10,8,4,17,50
7,0,200,10,10,2,41,75
8,800,10,200,7,3,75,60
7,0,10000,1000,11,2,11,55
9,500,1000,10000,10,4,94,35
7,100,10,1000,10,3,56,75
7,100,10000,200,7,1,44,50
7,20,5,10,8,3,32,95
11,0,1,1,8,3,37,100
10,20,10,20,7,3,30,95
11,50,5,50,9,4,78,80
11,10,5,10,10,2,9,95
8,500,20,10000,11,4,22,60
7,1000,1,50,10,1,11,60
7,300,200,1000,9,3,18,50
10,100,1,1000,11,2,53,75
10,300,500,1,11,3,34,65
9,300,100,200,9,3,4,65
11,500,20,50,8,3,54,70
9,300,5,20,11,2,35,80
11,100,20,5,9,3,41,95
11,100,100,10,7,3,15,85
7,200,20,10000,11,2,17,70
10,0,20,5,7,1,13,90
8,50,10,200,11,1,15,70
10,0,50,1000,9,4,17,75
8,1000,1,10,10,3,36,75
7,10,200,200,7,4,22,65
7,300,10,5,11,3,84,85
8,20,1000,1,10,3,16,75
8,10,1,5,10,1,15,90
8,0,50,1000,9,1,37,70
7,20,1000,50,11,3,78,65
11,100,100,1000,9,4,41,65
10,800,10000,1,7,2,4,50
11,100,100,200,8,2,19,65
9,0,1,10000,10,3,61,80
10,200,1000,20,9,3,45,65
8,500,10000,5,11,1,67,50
11,20,200,50,8,2,47,65
9,300,1,10000,8,2,26,65
10,300,200,10,8,3,1,65
8,300,50,200,10,1,28,60
11,800,500,50,11,3,53,50
11,10,50,5,7,1,41,90
11,200,20,1,9,4,10,85
7,300,5,50,10,3,56,75
7,20,20,20,11,3,7,95
10,800,500,20,8,4,66,45
10,800,500,5,9,2,22,50
8,500,1000,10,7,1,100,50
8,0,10000,20,8,3,95,75
10,0,10000,1,11,1,30,65
7,1000,100,1000,7,1,24,45
7,100,10000,10000,9,4,66,45
8,300,1000,200,8,3,15,50
9,10,20,20,9,2,22,95
11,50,200,5,8,3,16,80
9,300,500,5,10,1,58,55
11,800,5,10000,9,4,93,55
8,100,5,200,7,3,20,80
9,10,1000,10,10,4,62,70
9,50,1,10000,7,4,22,75
11,1000,20,5,10,1,45,65
9,500,10,10,11,2,14,80
8,300,10000,1000,8,3,11,45
11,200,100,1,9,2,6,80
11,500,1,5,7,1,51,75
10,100,50,1,9,1,33,85
9,20,200,20,11,3,53,75
10,50,100,10000,11,2,23,65
8,300,5,20,11,4,42,80
10,100,5,5,11,2,6,90
8,10,100,1,11,3,24,90
11,1000,20,1000,9,3,50,55
7,300,5,20,7,3,1,85
8,10,1,5,10,1,13,90
8,1000,20,20,10,1,26,65
11,500,100,50,11,4,29,60
8,0,500,50,10,4,52,60
7,0,5,1,9,2,2,95
8,100,10000,20,7,1,28,60
10,100,500,5,10,1,43,70
7,20,10000,10000,10,2,53,50
11,300,10000,5,10,4,25,55
9,20,5,10000,10,2,48,75
10,0,200,1000,11,2,32,60
9,10,1,5,10,2,23,95
8,10,500,10000,10,3,34,55
10,20,20,5,8,2,29,95
7,50,5,5,9,2,6,95
10,20,500,50,11,2,12,60
7,300,1000,20,10,4,29,55
7,20,50,1,10,3,70,95
11,1000,5,200,8,3,10,60
9,200,5,50,9,3,64,85
7,300,5,1,7,1,21,80
8,10,50,10,7,1,23,85
9,300,100,200,8,3,22,60
9,800,20,1000,8,1,57,50
10,10,50,1000,10,4,21,75
10,0,500,1,8,2,24,70
9,20,500,1,8,3,40,75
10,0,20,1,8,4,30,95
8,20,200,5,10,4,50,75
8,200,5,5,11,1,12,85
11,1000,10,10,10,3,68,75
8,300,10000,20,7,1,66,50
10,500,10,50,9,3,30,70
7,300,20,50,8,3,37,75
7,800,50,5,8,3,45,75
7,300,1,1000,9,2,69,65
10,20,1,1000,7,4,5,75
7,100,50,5,9,1,14,85
11,800,1000,5,8,4,27,50
10,1000,200,50,10,4,17,45
9,800,1,1,8,4,75,75
7,1000,1,1000,8,1,4,50
11,1000,10000,5,9,2,4,50
10,10,10,10,8,1,6,90
8,1000,100,20,11,1,19,55
8,50,5,10000,10,2,74,75
7,100,500,10,8,4,95,65
7,1000,5,20,9,2,9,70
11,200,10000,1000,8,4,14,45
11,100,50,200,8,1,25,70
8,20,20,10,9,2,41,95
11,500,5,1,7,1,23,75
10,0,10,200,10,4,29,80
8,800,10,1000,10,2,45,55
8,1000,5,10000,7,1,15,50
9,300,20,10,7,1,6,75
7,1000,20,20,9,3,42,70
10,800,10000,5,8,3,43,55
8,100,5,50,8,2,20,85
8,300,1,5,11,3,50,85
7,500,200,10000,8,1,42,40
11,100,10000,20,11,4,61,65
7,800,200,10,10,4,49,55
10,200,10000,10,10,4,47,65
7,0,5,50,9,3,55,90
10,100,5,1,9,1,32,85
10,300,500,50,9,3,13,50
7,100,500,50,7,4,39,60
10,800,1,50,9,4,26,65
10,50,100,50,11,2,25,75
9,500,200,1000,8,2,53,40
8,20,50,1000,9,1,53,70
7,1000,1000,10000,9,1,96,25
7,10,1000,10000,8,1,97,50
7,1000,1000,1000,9,2,25,30
10,300,1,50,11,2,45,75
9,800,20,200,8,2,77,60
10,300,100,5,8,4,14,70
8,100,5,1,8,2,48,95
7,20,5,5,9,4,43,95
9,300,50,10000,8,4,23,60
11,20,200,5,8,1,96,70
8,10,100,200,7,2,46,70
10,0,5,20,8,3,14,95
8,500,20,5,10,4,8,75
11,50,1000,200,8,4,0,50
10,800,50,10000,11,2,28,55
7,10,100,200,9,1,37,65
7,100,10000,20,8,1,54,60
7,300,500,200,8,1,41,40
9,200,50,5,7,1,25,80
10,500,200,1,10,4,20,60
7,1000,50,1,7,3,43,75
8,50,10000,50,10,4,26,55
9,10,1,200,10,2,14,80
10,1000,1,10000,7,4,50,55
11,200,200,10000,9,3,37,55
11,300,1000,200,9,1,38,40
7,200,1,50,9,1,99,75
10,20,5,1000,11,3,32,80
11,10,5,10000,11,2,40,80
8,100,200,1,11,1,30,70
8,20,100,1,8,1,12,85
7,0,20,200,11,3,56,80
7,800,50,1000,11,2,63,55
9,500,20,1000,7,4,21,60
9,0,10000,10000,7,1,15,50
10,800,50,1,7,4,72,70
11,800,500,1,10,3,44,55
10,300,1,20,11,2,16,80
11,0,200,1000,11,3,73,65
8,800,100,1,7,1,61,60
11,1000,50,10000,11,1,21,50
10,800,10000,10,11,4,2,50
9,300,500,1000,11,1,15,40
7,0,500,1,7,4,29,75
8,0,200,1,9,3,3,80
10,10,500,1,7,1,69,65
10,20,10000,20,9,2,73,65
9,800,5,10,7,2,45,75
10,100,5,10,8,1,67,85
10,1000,10,1000,9,1,14,50
8,0,100,50,9,4,65,75
10,100,200,5,10,4,95,75
7,100,200,5,8,3,9,75
7,10,5,10000,7,1,87,75
7,0,10000,1,10,1,51,65
11,20,1,1000,8,2,18,75
7,100,50,5,7,1,83,90
10,10,20,1,11,4,69,95
11,200,200,200,8,2,65,55
8,100,500,10000,10,3,14,55
10,500,20,10,8,3,20,80
9,10,200,5,9,1,14,75
7,200,50,200,11,4,53,65
7,500,100,10000,7,2,36,55
11,0,5,50,8,4,38,85
7,500,50,50,11,4,64,65
7,500,200,50,11,3,10,55
8,0,10000,20,8,2,37,70
10,10,5,50,9,4,10,85
11,50,200,200,7,2,40,60
7,10,500,1,9,3,24,75
7,500,50,1000,11,2,70,60
11,0,50,200,7,3,35,80
7,200,1000,10,11,4,16,60
8,50,500,20,10,4,0,65
10,50,10000,200,10,4,17,55
9,50,50,1000,11,2,7,75
8,10,10000,5,11,2,84,70
7,20,500,5,11,2,0,70
8,20,1000,20,10,4,29,65
11,1000,10,200,8,4,3,55
9,1000,5,5,8,3,43,75
8,300,10000,5,9,1,39,55
11,200,10000,1000,11,1,4,45
11,0,1,5,11,1,16,95
11,1000,10000,50,11,3,20,45
7,1000,5,10000,10,3,2,60
7,300,10000,10000,10,3,57,45
9,20,20,1,8,2,41,95
7,500,5,10,8,1,25,75
7,500,100,5,8,3,66,70
8,500,10,20,9,1,40,70
8,100,1,1000,11,2,74,75
7,800,1000,20,9,3,17,50
11,0,200,1000,7,2,52,60
7,800,100,200,10,3,24,50
10,50,500,1000,10,1,29,50
9,200,1000,10000,7,4,38,45
7,100,10,10000,11,3,1,75
9,0,10000,1000,8,3,28,55
10,50,50,10000,10,3,30,80
8,500,50,1000,10,3,77,60
9,500,10000,200,8,1,18,35
8,100,5,200,7,4,38,75
9,200,5,5,8,1,19,85
9,50,10000,200,10,3,11,55
10,200,10000,1,9,4,53,60
7,100,200,1,8,2,45,75
11,10,1000,200,8,2,22,55
8,300,200,1000,8,1,3,45
11,300,10,10000,8,3,78,70
10,300,10000,50,9,3,29,50
10,100,20,50,8,4,44,80
10,100,5,5,11,2,40,90
10,0,500,5,8,1,41,70
9,0,50,200,7,3,53,80
10,1000,1000,50,8,1,19,35
9,300,20,20,9,3,31,85
9,100,50,50,11,4,42,75
10,20,1000,20,7,1,26,65
10,20,10,5,10,2,30,100
7,50,200,200,11,4,32,55
8,0,10000,10,11,3,25,75
7,800,100,200,10,1,35,45
9,0,100,200,7,3,48,75
7,200,500,10000,7,3,27,55
8,300,50,5,9,1,39,75
10,50,5,1000,8,1,20,70
10,500,20,5,9,1,17,75
11,0,20,1,8,2,52,95
7,20,1000,20,7,1,5,65
11,20,1000,200,9,4,24,50
9,1000,500,50,11,2,44,40
9,100,500,10000,9,2,72,55
9,20,50,10,7,1,43,85
7,0,10000,20,10,1,65,65
9,20,5,1000,8,2,67,75
7,0,10,5,10,2,16,95
11,300,10000,5,11,2,50,60
10,10,10000,1,7,4,74,70
9,300,500,200,8,3,4,45
9,1000,20,1000,8,3,26,55
9,20,1,1,11,2,61,95
8,20,20,200,7,4,93,75
9,10,10,1000,11,1,35,75
10,100,200,20,8,3,54,75
10,10,1,10000,9,1,3,75
7,1000,5,20,8,2,25,70
10,800,500,1000,8,1,9,30
8,0,200,20,8,4,35,75
11,100,10,1,9,1,54,85
10,500,100,10000,7,3,26,55
7,500,200,10,11,2,4,60
10,50,1000,50,10,2,52,60
7,1000,50,10000,9,2,48,50
9,200,20,10000,7,1,89,65
9,0,1,1000,11,4,23,75
10,500,10,50,8,1,53,65
9,100,500,5,11,3,53,70
10,300,20,10,7,4,39,80
8,20,10000,20,10,4,63,65
9,500,500,1000,7,4,38,35
9,200,1000,50,10,3,69,55
11,300,100,20,10,4,38,70
7,500,500,1000,9,3,39,40
7,20,10000,10,10,1,20,65
11,10,50,10000,10,1,51,70
8,20,5,10,8,3,12,100
11,50,1000,50,11,1,31,60
7,800,1,1000,10,4,16,55
8,200,1,5,10,1,52,85
10,10,20,5,8,2,114,95
11,500,5,200,8,1,30,55
9,800,200,1,10,2,12,55
8,200,100,5,10,2,4,80
7,100,100,10000,11,2,93,65
8,50,200,1000,9,3,34,60
11,50,5,200,9,2,6,75
7,1000,1000,10,8,1,44,45
10,200,1,10000,7,4,33,70
10,500,1000,1,7,2,11,55
10,300,50,20,7,3,1,80
10,200,50,5,10,4,61,85
10,1000,500,50,8,4,49,40
11,100,10,20,10,1,1,85
8,500,1,10000,11,1,5,55
10,50,1000,50,11,1,17,55
10,20,1000,10000,8,3,15,55
11,10,100,10,8,1,67,80
11,500,50,10,8,2,20,75
10,0,100,20,7,1,58,80
7,500,500,200,10,2,6,40
11,1000,10000,50,9,1,23,35
9,0,50,1000,10,4,53,75
11,100,1000,1000,10,4,51,50
10,10,1,50,7,4,41,85
10,800,5,1000,11,3,52,60
7,10,5,10000,8,2,16,75
11,1000,10000,20,8,3,49,50
9,50,20,20,8,2,18,90
8,200,1000,10,10,1,77,60
9,20,200,1000,11,3,28,60
10,20,500,50,8,4,26,60
11,100,1000,10,10,3,3,70
10,800,50,20,7,1,97,65
10,200,10000,10,7,3,96,65
11,500,1,50,9,4,23,65
11,0,200,10000,8,1,43,55
8,50,5,10,11,3,48,95
9,200,5,10000,9,3,29,75
11,300,10,50,7,2,15,70
10,500,50,10,9,3,48,80
7,0,10,50,8,3,63,90
10,1000,200,20,8,4,53,50
11,100,1,1,11,1,58,90
11,200,200,10000,8,2,3,50
11,1000,20,1000,8,3,5,55
7,1000,20,200,8,3,32,60
9,200,100,1,10,3,23,80
11,800,50,1,9,2,32,70
11,500,500,1,11,4,33,60
9,50,500,1,9,4,53,75
11,200,10000,200,9,4,3,45
11,50,200,5,9,1,20,70
7,20,5,5,7,1,13,95
10,200,10,1,11,1,75,85
9,1000,100,1,10,2,12,65
9,20,5,10,7,3,3,95
7,50,5,20,9,4,32,90
11,300,5,20,11,3,49,85
8,20,20,200,8,1,30,75
10,1000,100,1000,8,1,8,40
10,500,10,5,8,3,11,80
9,0,500,10,9,1,51,70
7,100,5,10,10,3,49,95
7,1000,20,20,9,2,30,70
10,800,500,10000,11,2,64,35
11,20,500,50,8,2,50,60
8,50,100,10000,9,2,67,65
11,10,500,10,10,4,44,70
9,100,500,50,7,3,74,60
10,800,5,5,9,3,44,80
10,0,10000,10,8,2,56,70
7,50,1,50,9,2,29,85
9,50,10,5,10,3,51,95
11,100,10,10000,11,3,52,80
8,1000,10000,50,11,1,97,35
9,20,100,50,7,2,33,75
7,800,5,20,9,1,17,65
8,100,5,10000,8,3,52,80
9,300,200,1000,11,4,28,45
7,0,50,1000,9,4,9,75
7,300,20,1000,7,3,16,70
10,300,10,5,10,2,17,85
9,10,50,10,7,1,30,85
11,800,1000,1000,7,3,3,35
7,800,5,50,10,1,33,60
9,20,10000,20,7,4,35,65
7,200,100,10000,8,3,5,65
10,300,20,1,10,2,35,85
10,500,50,10,10,3,66,80
8,0,200,5,7,3,50,80
7,500,10000,1000,7,3,63,45
8,0,1000,10,7,1,51,65
9,0,10000,5,9,2,41,75
10,50,100,10,9,4,54,80
8,20,200,20,11,4,36,70
9,10,20,20,9,1,79,90
9,500,100,10,8,1,51,65
10,20,100,5,7,2,36,85
10,200,5,1,8,4,1,85
9,200,20,20,10,3,34,85
7,0,100,20,10,3,11,85
11,200,1000,5,7,3,12,65
7,500,200,1000,11,1,40,40
9,10,50,50,7,3,30,85
8,20,10,50,9,1,5,80
11,800,1000,5,9,3,9,55
7,500,10000,200,9,1,44,35
11,800,100,1000,11,4,45,50
8,100,1,10000,8,4,41,75
10,10,20,10000,9,4,38,75
10,500,10,50,10,3,26,75
11,20,500,5,8,3,10,75
8,20,5,1,10,3,13,95
11,1000,100,10,10,1,5,60
7,1000,100,50,10,1,12,50
8,500,10,10000,11,3,73,65
7,100,20,1,11,3,5,95
11,100,10000,1,7,3,16,70
8,100,10000,1000,11,3,6,50
7,50,500,200,9,1,10,50
11,200,10,10,9,2,32,85
10,800,500,10000,7,4,50,30
8,10,5,20,8,1,52,90
8,200,10,1,11,1,48,85
7,800,100,5,11,4,22,65
9,50,1,200,9,2,40,80
11,1000,5,1000,7,2,24,55
10,20,20,5,9,2,51,95
9,500,10,10,9,3,64,85
10,10,20,200,9,3,37,80
7,10,50,20,8,3,19,90
7,100,1,1000,8,4,12,70
11,500,10000,1000,8,2,62,35
9,500,10,1,11,3,43,80
11,10,500,10,9,1,45,65
8,500,1000,200,8,3,11,45
10,10,50,1000,7,3,32,75
7,100,50,20,8,1,42,80
8,50,10,1000,11,3,64,80
11,0,10000,50,8,3,35,65
7,200,500,5,8,2,36,65
8,500,1000,200,7,2,1,35
8,200,1,20,11,1,14,80
9,800,50,200,9,2,44,60
9,20,500,200,8,2,21,55
10,200,500,200,9,2,12,50
11,500,500,20,8,3,32,55
8,0,10000,1000,9,2,14,55
9,1000,500,10000,8,3,29,35
9,0,50,200,9,1,30,75
10,300,1,5,11,2,41,85
8,1000,1000,50,10,4,95,35
7,100,5,200,9,2,35,75
11,0,500,200,9,2,22,55
8,300,20,10,10,4,83,80
8,800,1,20,8,4,75,75
10,800,20,200,7,1,21,55
8,50,100,20,11,3,41,85
7,500,10,50,8,3,69,70
8,300,5,10000,7,4,37,65
8,100,20,1000,9,1,69,70
10,200,100,200,9,4,35,60
11,1000,100,10,10,3,25,65
11,500,50,10,9,4,53,75
11,300,10,20,8,2,19,80
9,1000,200,5,8,4,56,55
9,100,100,200,9,1,84,65
10,20,50,1,10,4,56,95
11,10,10000,200,11,2,0,60
11,50,1000,200,7,4,40,50
8,0,1,5,11,4,34,95
7,0,50,10000,8,1,57,70
11,800,10,50,11,3,25,70
10,10,5,1,11,3,23,100
7,200,10000,50,11,3,30,55
8,500,500,1,9,2,62,55
11,1000,10,20,10,4,73,70
7,20,10,10000,10,1,42,70
8,800,500,10,10,1,27,45
11,50,1000,50,7,1,76,55
7,300,100,5,10,4,35,70
8,100,10,50,7,1,12,75
11,800,200,1000,7,3,31,40
11,200,5,10000,9,4,75,70
9,0,500,10,8,1,21,65
10,0,1000,10,9,3,10,75
8,20,10,5,9,3,58,95
9,300,500,200,8,2,64,45
11,500,100,10000,9,3,43,55
8,0,5,10,11,1,41,90
9,1000,5,50,9,2,78,65
8,1000,20,20,9,1,29,65
8,200,1000,10,9,2,34,65
7,300,5,200,9,4,93,65
10,800,5,5,10,3,17,80
7,500,50,1,7,4,73,80
7,200,100,1,7,3,24,85
8,1000,10000,10,10,1,83,45
8,500,1000,200,9,1,45,35
9,500,200,20,8,2,35,55
8,10,1,5,7,3,21,100
7,10,50,10,9,3,49,95
7,300,1000,200,9,1,24,40
10,50,1000,20,7,3,26,70
11,10,200,200,8,4,17,60
11,50,10000,50,7,3,33,60
10,10,100,10000,7,4,30,65
7,0,5,5,7,4,14,100
8,1000,500,50,7,2,11,40
9,50,200,1,7,2,42,75
9,300,1,10,8,4,22,80
11,300,50,5,7,1,49,75
7,1000,20,1,11,2,15,70
11,50,500,50,7,1,69,55
11,300,1,20,7,3,39,85
8,50,200,10,10,1,17,70
7,20,100,50,9,4,14,75
7,20,1000,50,11,3,30,65
10,50,1,200,7,1,43,75
11,20,50,1000,7,4,25,70
8,0,50,5,8,3,37,100
9,20,100,20,10,3,15,85
9,10,20,10000,7,4,28,75
7,200,500,20,10,4,43,60
9,300,1,1000,9,1,16,65
11,50,10000,50,11,3,19,65
7,800,5,1,11,3,21,80
11,100,20,10000,11,4,21,75
10,50,5,5,8,3,27,95
9,10,100,20,9,1,56,80
9,200,500,20,10,2,54,60
9,100,10,50,11,2,86,80
8,20,500,10,11,2,52,70
9,20,100,200,11,4,38,65
8,200,500,20,11,3,0,65
11,500,500,10,9,1,6,50
11,300,50,5,7,2,6,80
8,200,1000,1,8,1,39,65
9,500,10,10,8,3,67,80
9,0,50,1,7,2,40,90
10,100,100,1000,8,3,53,65
9,100,50,20,8,3,71,90
7,0,10000,5,11,1,22,65
9,200,1,1000,11,2,28,70
10,20,10,50,11,1,61,80
9,500,50,10,11,2,11,75
11,800,100,1,11,1,20,65
8,50,200,10000,7,3,20,60
8,50,5,1000,8,4,17,80
7,200,500,10000,7,3,28,55
10,0,200,10000,7,4,4,60
9,200,200,5,9,4,62,70
7,10,10000,5,10,1,42,65
8,1000,1000,200,8,2,73,35
11,10,10000,1000,10,2,25,55
9,100,10000,5,11,4,11,65
7,100,20,50,11,2,56,80
7,800,50,20,7,2,20,75
11,500,10000,50,7,1,5,40
7,20,200,20,9,3,4,75
8,800,10,10000,7,1,43,50
10,800,10,10000,8,2,15,55
10,20,10000,10000,8,4,25,50
11,300,20,1,11,3,33,90
9,100,200,1,11,3,1,75
11,1000,50,5,11,3,17,75
9,100,1000,1,11,1,31,60
7,500,10000,5,7,1,0,55
9,100,500,10,7,2,69,70
9,1000,200,5,7,3,67,55
8,800,200,1,10,1,51,50
8,100,10000,200,9,1,33,45
10,20,500,5,11,1,30,65
9,20,1000,1000,8,1,35,50
9,50,100,10000,9,3,15,75
7,800,200,20,8,4,33,50
7,10,1,10,8,1,3,90
9,800,100,200,8,3,16,50
9,800,100,1,9,3,4,70
8,300,1000,5,11,3,2,60
9,200,1,5,8,4,9,85
8,200,20,200,9,2,80,70
8,200,10000,1000,9,4,67,45
11,20,100,10000,10,3,61,70
7,200,500,10000,7,1,33,45
11,50,200,10,7,4,47,75
9,20,20,1000,8,2,24,75
8,300,1000,20,9,3,15,60
9,100,50,1,10,4,8,85
9,50,100,50,8,2,14,75
10,500,1000,1,7,3,56,55
8,0,200,10,10,2,34,75
10,300,50,10,10,4,52,80
11,500,10000,5,10,2,21,55
11,200,50,10000,9,2,25,65
8,0,50,50,8,1,74,80
7,50,5,1000,9,3,1,80
11,300,10000,5,10,3,24,60
10,10,5,1,11,3,0,100
11,200,10,20,7,4,31,85
10,1000,10,10000,11,1,49,50
8,200,1,50,7,2,73,75
10,300,1,20,10,3,31,85
7,1000,1000,50,11,4,45,35
8,0,500,5,10,3,35,75
7,800,1,20,9,1,64,65
8,200,1000,20,10,4,22,60
11,50,200,50,9,3,10,70
10,50,1000,10,8,4,32,65
10,20,200,10,7,4,37,75
10,200,500,50,11,1,48,50
9,1000,50,1,11,4,83,70
7,10,10,5,9,4,1,95
11,100,10000,10,9,4,52,65
11,800,1,200,9,1,30,55
8,20,1000,50,7,3,2,65
8,300,200,1,8,4,90,65
9,10,5,10000,9,4,40,80
7,500,10000,10000,8,1,25,30
8,20,1000,10000,8,1,15,50
7,300,5,50,10,4,95,70
11,1000,10000,10000,9,1,32,25
9,10,10000,200,9,2,58,60
7,10,10,5,11,3,46,100
7,50,5,20,8,1,42,85
10,100,10000,20,10,1,80,65
10,200,50,10000,10,2,21,70
10,200,500,5,9,2,41,65
7,800,500,50,9,3,26,45
8,50,10000,1000,9,2,43,50
11,100,20,5,9,3,78,95
11,50,1000,10,11,4,30,70
11,0,500,200,10,1,15,50
11,20,500,1000,10,1,9,50
11,50,10000,50,9,3,36,60
9,50,200,5,7,3,36,80
11,300,500,10,10,2,30,60
9,50,5,10000,10,4,10,75
11,50,10,200,10,3,13,80
10,20,5,10,8,2,14,95
11,100,5,50,10,1,54,75
8,20,500,50,11,1,2,55
8,10,200,10000,10,2,37,60
10,10,200,5,8,4,6,75
9,10,10000,200,7,3,64,55
11,300,50,20,8,4,34,75
10,100,20,5,8,1,64,85
7,10,1,10,10,2,57,95
11,50,200,5,10,4,54,75
11,200,1,5,11,4,65,90
8,200,200,10,10,1,54,65
7,1000,1,50,9,1,22,60
7,20,500,200,10,2,14,55
10,20,1,10,10,1,7,95
9,200,10,1000,10,2,14,70
7,10,500,50,7,1,17,60
11,500,10000,50,9,4,34,40
11,20,1,200,9,4,69,75
8,1000,50,200,7,2,72,55
11,300,20,5,11,3,7,90
7,200,1,20,8,3,53,90
10,100,1000,200,7,2,42,50
11,500,10000,5,7,4,18,50
7,0,20,50,7,2,62,90
8,20,10000,1,8,4,48,70
8,1000,500,10,7,3,38,50
11,100,500,200,7,1,25,45
9,300,1000,1,9,4,52,60
7,20,10000,200,11,4,22,50
9,800,500,1000,8,2,42,35
7,50,1000,1000,7,3,11,60
10,500,500,50,7,3,30,50
9,200,500,10000,8,3,25,50
11,200,10,1000,11,2,30,75
8,20,10000,200,10,2,55,55
11,20,10000,10000,9,2,23,50
9,50,10000,20,10,4,53,65
10,300,20,1,9,1,32,80
11,800,200,10,8,1,35,50
8,10,10,50,11,1,69,80
7,200,100,200,7,4,43,65
7,1000,20,1000,11,4,21,55
7,800,1000,10,8,2,81,50
10,200,1000,50,7,4,50,50
10,0,100,20,7,2,4,85
9,200,200,200,9,4,21,55
10,50,100,10,11,2,83,85
11,50,50,10000,9,3,10,75
11,500,500,200,10,4,118,35
11,0,1000,1000,11,4,42,55
10,500,10000,10,8,1,14,50
7,10,20,1,7,1,13,95
10,800,10000,5,8,2,62,50
8,500,500,200,11,4,28,35
8,200,200,1000,7,1,37,45
9,500,20,20,7,3,54,80
10,100,500,5,10,2,53,70
9,10,1000,5,11,3,6,75
7,300,10,20,10,1,77,75
9,20,500,5,11,1,20,65
8,0,200,20,8,2,34,80
11,20,10000,5,9,1,33,65
11,500,20,1000,11,1,18,60
9,200,5,1000,7,1,49,65
9,10,1,5,11,4,45,95
8,500,10000,10,8,2,34,55
7,50,50,10000,8,3,24,75
7,100,200,1000,11,2,94,55
7,200,200,1,10,2,17,70
8,1000,100,50,9,4,10,50
10,0,200,10000,9,1,67,55
10,50,200,50,7,1,16,60
10,50,500,5,7,1,25,65
8,20,5,10,7,1,20,90
7,200,10,1,9,3,2,90
7,500,1,50,9,1,36,65
8,100,5,5,7,1,2,85
7,500,1000,50,8,1,82,40
8,10,1000,5,8,3,42,75
11,10,100,1,8,3,9,90
9,500,5,10000,8,1,60,55
10,800,1000,5,8,2,11,50
8,800,5,50,11,1,5,60
7,20,20,10000,10,4,45,75
8,800,5,10000,11,3,31,60
7,0,50,1000,7,3,35,80
10,50,500,200,10,1,2,55
11,1000,1000,10,9,1,32,45
7,1000,500,10000,11,4,54,30
9,500,1000,200,10,3,50,40
7,20,20,200,9,2,66,80
8,200,10,200,7,3,36,75
8,10,50,10000,9,2,40,75
7,20,1,200,8,4,53,75
10,10,200,10,7,3,26,80
7,20,100,5,11,2,49,85
7,200,5,200,11,3,49,75
9,100,200,50,11,1,52,60
7,1000,20,20,7,1,14,70
9,20,100,1000,8,3,41,70
10,50,20,1000,10,2,53,80
10,0,500,1,10,1,17,70
9,1000,1000,20,10,4,55,45
9,0,50,10,11,4,54,90
10,200,1000,20,9,2,32,60
11,200,10,5,10,1,46,85
10,200,50,5,11,1,35,80
7,800,50,10000,10,4,51,50
9,300,10000,10,7,4,3,55
10,800,50,1000,11,2,57,55
8,10,20,10,11,3,97,95
7,0,1,1000,10,3,47,80
9,0,100,5,11,4,38,85
8,0,5,1,11,2,10,95
9,1000,20,10000,8,4,65,55
7,1000,20,1000,10,4,114,55
10,0,500,10,9,3,15,75
9,100,20,5,9,3,33,100
11,800,1,20,11,1,2,70
9,1000,100,10000,9,3,39,50
9,200,5,50,11,4,81,75
8,300,1000,50,9,4,43,45
9,100,10,10,7,1,43,85
7,0,100,10000,9,1,11,65
10,300,5,1,10,3,65,90
11,1000,1000,1000,9,3,57,35
8,500,10,50,9,2,20,70
8,300,5,200,10,4,0,65
9,200,20,20,11,4,5,85
7,1000,10,1,9,3,61,75
8,0,10000,1,8,2,50,75
7,200,500,10,9,3,15,65
11,20,200,1000,9,2,64,60
10,1000,10000,20,10,3,46,50
10,10,50,10000,7,2,83,75
10,0,100,200,8,2,54,70
8,200,50,1000,11,1,28,65
10,10,200,10,9,2,77,75
11,50,20,10000,7,4,35,75
10,0,1000,200,9,1,0,50
10,800,20,1000,9,2,56,55
11,50,50,10,9,3,42,95
11,50,10,20,11,4,35,95
10,50,20,1000,10,4,73,80
8,800,50,1,11,3,49,75
11,100,1,1000,9,4,17,70
10,50,500,50,7,2,41,60
7,20,1,10000,7,4,58,80
7,0,5,1000,7,1,58,75
9,200,100,5,8,4,38,75
7,50,200,1,9,4,19,75
8,500,1,200,9,4,9,60
7,800,100,20,8,3,5,65
11,300,1000,20,8,2,46,55
11,10,1000,1000,10,2,24,55
9,300,100,5,8,3,26,75
10,800,1000,5,8,2,15,50
10,100,50,1,8,1,11,85
7,1000,5,10000,7,3,50,60
9,50,5,5,10,3,26,95
9,10,200,20,7,1,17,70
9,0,50,200,8,2,49,75
9,300,100,20,10,1,45,65
9,500,500,5,7,2,9,55
7,300,50,5,9,4,40,80
